  #Energy          xx             yy              zz              xy              yz              zx
 4.108838E+02 -3.24586115E+15 -3.52680454E+15 -3.21824472E+15  3.64814174E+14  3.64814174E+14  6.06065787E+14
 4.024938E+02 -3.37880636E+15 -3.68526975E+15 -3.36577170E+15  3.72418751E+14  3.72418751E+14  6.13708860E+14
 3.944396E+02 -3.50525917E+15 -3.82504881E+15 -3.51453174E+15  3.80023328E+14  3.80023328E+14  6.22250198E+14
 3.867134E+02 -3.62416911E+15 -3.95538683E+15 -3.66254308E+15  3.87615815E+14  3.87615815E+14  6.35496129E+14
 3.792725E+02 -3.74111671E+15 -4.07895111E+15 -3.81079407E+15  3.95220393E+14  3.95220393E+14  6.58476696E+14
 3.721126E+02 -3.87175220E+15 -4.19699308E+15 -3.96730228E+15  4.02824970E+14  4.02824970E+14  6.97451153E+14
 3.652287E+02 -4.02718025E+15 -4.33101230E+15 -4.14230235E+15  4.10417457E+14  4.10417457E+14  7.48888734E+14
 3.585845E+02 -4.20350417E+15 -4.48863700E+15 -4.33681139E+15  4.18022034E+14  4.18022034E+14  7.97209821E+14
 3.521778E+02 -4.38723142E+15 -4.65558900E+15 -4.53875449E+15  4.25626611E+14  4.25626611E+14  8.21459360E+14
 3.460056E+02 -4.56171046E+15 -4.84040031E+15 -4.72971283E+15  4.33219098E+14  4.33219098E+14  7.99462524E+14
 3.400367E+02 -4.72130973E+15 -5.05413160E+15 -4.90363440E+15  4.40823676E+14  4.40823676E+14  7.30797489E+14
 3.342703E+02 -4.86203849E+15 -5.28154312E+15 -5.05737383E+15  4.48428253E+14  4.48428253E+14  6.30131381E+14
 3.287049E+02 -4.96957722E+15 -5.49883489E+15 -5.17556179E+15  4.56020740E+14  4.56020740E+14  5.13798568E+14
 3.233133E+02 -5.03376552E+15 -5.66856130E+15 -5.23349530E+15  4.63625317E+14  4.63625317E+14  3.98393235E+14
 3.181039E+02 -5.05352822E+15 -5.73439082E+15 -5.21501456E+15  4.71217804E+14  4.71217804E+14  2.88055444E+14
 3.130519E+02 -5.04951719E+15 -5.63301014E+15 -5.15078812E+15  4.78822381E+14  4.78822381E+14  1.83388972E+14
 3.081578E+02 -5.02114228E+15 -5.32433220E+15 -5.06326685E+15  4.86426959E+14  4.86426959E+14  7.55907494E+13
 3.034217E+02 -4.97897498E+15 -4.87794801E+15 -4.95121109E+15  4.94019446E+14  4.94019446E+14 -9.38636947E+11
 2.988219E+02 -4.97500673E+15 -4.47092475E+15 -4.83640802E+15  5.01624023E+14  5.01624023E+14 -2.82915949E+13
 2.943594E+02 -4.99858794E+15 -4.18020665E+15 -4.71087378E+15  5.09228600E+14  5.09228600E+14 -4.46593482E+13
 2.900351E+02 -5.01223427E+15 -3.94029565E+15 -4.57800119E+15  5.16821087E+14  5.16821087E+14 -6.67216024E+13
