 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 4.024938E+02  6.11704915E+04  7.71320127E+04  5.10622192E+04  0.00000000E+00  0.00000000E+00  2.76350726E+05
 3.944396E+02  7.26208884E+04  9.36374254E+04  6.08817874E+04  0.00000000E+00  0.00000000E+00  2.82533600E+05
 3.867134E+02  8.42897391E+04  1.10174549E+05  7.18001725E+04  0.00000000E+00  0.00000000E+00  2.89986773E+05
 3.792725E+02  9.50384327E+04  1.27017232E+05  8.32296432E+04  0.00000000E+00  0.00000000E+00  3.00954997E+05
 3.721126E+02  1.04606604E+05  1.42999813E+05  9.47372580E+04  0.00000000E+00  0.00000000E+00  3.19069985E+05
 3.652287E+02  1.14793480E+05  1.57615199E+05  1.07186558E+05  0.00000000E+00  0.00000000E+00  3.44757932E+05
 3.585845E+02  1.27842651E+05  1.73603316E+05  1.22521544E+05  0.00000000E+00  0.00000000E+00  3.73216005E+05
 3.521778E+02  1.45121067E+05  1.91801034E+05  1.42423052E+05  0.00000000E+00  0.00000000E+00  3.98273313E+05
 3.460056E+02  1.66640529E+05  2.11412726E+05  1.67044973E+05  0.00000000E+00  0.00000000E+00  4.13220856E+05
 3.400367E+02  1.91473648E+05  2.34804040E+05  1.95432735E+05  0.00000000E+00  0.00000000E+00  4.15994751E+05
 3.342703E+02  2.19902879E+05  2.65038628E+05  2.28022300E+05  0.00000000E+00  0.00000000E+00  4.08864801E+05
 3.287049E+02  2.51887528E+05  3.04102437E+05  2.65512514E+05  0.00000000E+00  0.00000000E+00  3.94039477E+05
 3.233133E+02  2.86156716E+05  3.54099935E+05  3.07619259E+05  0.00000000E+00  0.00000000E+00  3.75301805E+05
 3.181039E+02  3.20551444E+05  4.15602758E+05  3.50929933E+05  0.00000000E+00  0.00000000E+00  3.54022030E+05
 3.130519E+02  3.53481907E+05  4.86620204E+05  3.91496591E+05  0.00000000E+00  0.00000000E+00  3.31274824E+05
 3.081578E+02  3.85938719E+05  5.59506916E+05  4.30410442E+05  0.00000000E+00  0.00000000E+00  3.02276081E+05
 3.034217E+02  4.14538931E+05  6.20519431E+05  4.67413970E+05  0.00000000E+00  0.00000000E+00  2.68259595E+05
 2.988219E+02  4.39708192E+05  6.62131549E+05  5.02130575E+05  0.00000000E+00  0.00000000E+00  2.42298069E+05
 2.943594E+02  4.67958289E+05  6.94212507E+05  5.36750315E+05  0.00000000E+00  0.00000000E+00  2.24794745E+05
 2.900351E+02  5.01011648E+05  7.27448983E+05  5.68885624E+05  0.00000000E+00  0.00000000E+00  2.08186471E+05
 2.858293E+02  5.39089673E+05  7.64156669E+05  5.99273289E+05  0.00000000E+00  0.00000000E+00  1.90206027E+05
 2.817438E+02  5.83138050E+05  8.03947999E+05  6.35053860E+05  0.00000000E+00  0.00000000E+00  1.67914718E+05
 2.777797E+02  6.31734922E+05  8.45271343E+05  6.79846092E+05  0.00000000E+00  0.00000000E+00  1.42167115E+05
 2.739195E+02  6.78765951E+05  8.86713893E+05  7.28313307E+05  0.00000000E+00  0.00000000E+00  1.21888952E+05
 2.701652E+02  7.21522011E+05  9.30476092E+05  7.73353475E+05  0.00000000E+00  0.00000000E+00  1.19236906E+05
 2.665180E+02  7.61789324E+05  9.79328805E+05  8.08102682E+05  0.00000000E+00  0.00000000E+00  1.30021185E+05
 2.629625E+02  8.02605094E+05  1.02296587E+06  8.35350142E+05  0.00000000E+00  0.00000000E+00  1.30094118E+05
 2.595006E+02  8.46357709E+05  1.04838029E+06  8.62720893E+05  0.00000000E+00  0.00000000E+00  1.16673699E+05
 2.561339E+02  8.87909680E+05  1.05317487E+06  8.89389330E+05  0.00000000E+00  0.00000000E+00  1.04183581E+05
 2.528484E+02  9.22293793E+05  1.04138523E+06  9.11040263E+05  0.00000000E+00  0.00000000E+00  9.83173619E+04
 2.496460E+02  9.50982152E+05  1.01968639E+06  9.27022463E+05  0.00000000E+00  0.00000000E+00  9.58266735E+04
 2.465287E+02  9.77196095E+05  9.97611461E+05  9.38968715E+05  0.00000000E+00  0.00000000E+00  9.13170629E+04
 2.434834E+02  1.00221867E+06  9.82448638E+05  9.49004403E+05  0.00000000E+00  0.00000000E+00  7.90473062E+04
 2.405125E+02  1.02751350E+06  9.76453451E+05  9.61130759E+05  0.00000000E+00  0.00000000E+00  6.37418195E+04
 2.376178E+02  1.05259943E+06  9.77379080E+05  9.74845860E+05  0.00000000E+00  0.00000000E+00  4.67402543E+04
 2.347874E+02  1.07438946E+06  9.78752849E+05  9.84464079E+05  0.00000000E+00  0.00000000E+00  2.11632039E+04
 2.320237E+02  1.09070645E+06  9.77145235E+05  9.90420960E+05  0.00000000E+00  0.00000000E+00  1.51629994E+04
 2.293286E+02  1.10090599E+06  9.74013658E+05  9.97026470E+05  0.00000000E+00  0.00000000E+00  5.65305869E+04
 2.266912E+02  1.10740431E+06  9.71542607E+05  1.00425740E+06  0.00000000E+00  0.00000000E+00  9.52525795E+04
 2.241178E+02  1.11283429E+06  9.71368091E+05  1.00994923E+06  0.00000000E+00  0.00000000E+00  1.25553156E+05
 2.215982E+02  1.11602213E+06  9.73452163E+05  1.01214055E+06  0.00000000E+00  0.00000000E+00  1.47719327E+05
 2.191346E+02  1.11344410E+06  9.77516917E+05  1.00763405E+06  0.00000000E+00  0.00000000E+00  1.66376796E+05
 2.167291E+02  1.10414338E+06  9.83261722E+05  9.95635052E+05  0.00000000E+00  0.00000000E+00  1.84178084E+05
 2.143720E+02  1.09163621E+06  9.91285374E+05  9.82314370E+05  0.00000000E+00  0.00000000E+00  2.01143735E+05
 2.120657E+02  1.07947207E+06  1.00206775E+06  9.71599193E+05  0.00000000E+00  0.00000000E+00  2.16942594E+05
 2.098120E+02  1.07011699E+06  1.01257803E+06  9.61445904E+05  0.00000000E+00  0.00000000E+00  2.29919075E+05
 2.076022E+02  1.06159585E+06  1.01893823E+06  9.47126209E+05  0.00000000E+00  0.00000000E+00  2.41089863E+05
 2.054385E+02  1.04899725E+06  1.01876398E+06  9.26542932E+05  0.00000000E+00  0.00000000E+00  2.52915522E+05
 2.033228E+02  1.03025605E+06  1.01171374E+06  9.03425845E+05  0.00000000E+00  0.00000000E+00  2.63846557E+05
 2.012469E+02  1.00934668E+06  9.99768948E+05  8.83359603E+05  0.00000000E+00  0.00000000E+00  2.73489963E+05
 1.992130E+02  9.93109246E+05  9.86891884E+05  8.70700136E+05  0.00000000E+00  0.00000000E+00  2.88416367E+05
 1.972229E+02  9.85534376E+05  9.75977037E+05  8.68325512E+05  0.00000000E+00  0.00000000E+00  3.08534903E+05
 1.952691E+02  9.89380741E+05  9.68419487E+05  8.78646194E+05  0.00000000E+00  0.00000000E+00  3.26846157E+05
 1.933537E+02  1.00732560E+06  9.64646502E+05  9.02327214E+05  0.00000000E+00  0.00000000E+00  3.41389897E+05
 1.914784E+02  1.03853672E+06  9.65177406E+05  9.37474870E+05  0.00000000E+00  0.00000000E+00  3.51846173E+05
 1.896363E+02  1.08020043E+06  9.70603786E+05  9.82072995E+05  0.00000000E+00  0.00000000E+00  3.57333107E+05
 1.878292E+02  1.12814220E+06  9.79874242E+05  1.03213843E+06  0.00000000E+00  0.00000000E+00  3.59126545E+05
 1.860591E+02  1.17627696E+06  9.88734762E+05  1.08083227E+06  0.00000000E+00  0.00000000E+00  3.56511114E+05
 1.843193E+02  1.21791032E+06  9.93783884E+05  1.12286196E+06  0.00000000E+00  0.00000000E+00  3.55938596E+05
